passage_id,layer,num_removed,exact_match,first_divergence_idx
7,32,20,False,25
7,33,20,False,25
7,34,20,True,30
8,0,20,True,30
8,1,20,True,30
8,2,20,True,30
8,3,20,True,30
8,4,20,True,30
8,5,20,True,30
8,6,20,True,30
8,7,20,False,0
8,8,20,True,30
8,9,20,False,0
8,10,20,False,0
8,11,20,False,0
8,12,20,False,0
8,13,20,True,30
8,14,20,True,30
8,15,20,False,0
8,16,20,False,0
8,17,20,True,30
8,18,20,False,0
8,19,20,True,30
8,20,20,False,0
8,21,20,False,0
8,22,20,True,30
8,23,20,True,30
8,24,20,False,0
8,25,20,False,0
8,26,20,True,30
8,27,20,True,30
8,28,20,False,0
8,29,20,False,0
8,30,20,True,30
8,31,20,True,30
8,32,20,True,30
8,33,20,True,30
8,34,20,False,0
9,0,20,False,0
9,1,20,False,0
9,2,20,True,30
9,3,20,False,0
9,4,20,True,30
9,5,20,True,30
9,6,20,True,30
9,7,20,False,0
9,8,20,True,30
9,9,20,True,30
9,10,20,True,30
9,11,20,False,0
9,12,20,True,30
9,13,20,True,30
9,14,20,False,0
9,15,20,False,0
9,16,20,False,0
9,17,20,False,0
9,18,20,True,30
9,19,20,False,0
9,20,20,False,1
9,21,20,True,30
9,22,20,False,0
9,23,20,True,30
9,24,20,True,30
9,25,20,False,0
9,26,20,False,0
9,27,20,True,30
9,28,20,False,0
9,29,20,True,30
9,30,20,True,30
9,31,20,False,0
9,32,20,False,0
9,33,20,False,0
9,34,20,False,0
10,0,20,False,0
10,1,20,False,0
10,2,20,False,0
10,3,20,False,3
10,4,20,False,0
10,5,20,False,7
10,6,20,False,1
10,7,20,False,0
10,8,20,False,0
10,9,20,False,0
10,10,20,False,7
10,11,20,False,0
10,12,20,False,0
10,13,20,False,1
10,14,20,False,0
10,15,20,False,0
10,16,20,False,0
10,17,20,False,7
10,18,20,False,0
10,19,20,False,13
10,20,20,False,1
10,21,20,False,1
10,22,20,False,1
10,23,20,False,0
10,24,20,False,0
10,25,20,False,7
10,26,20,False,1
10,27,20,False,0
10,28,20,False,0
10,29,20,False,3
10,30,20,False,11
10,31,20,False,1
10,32,20,False,1
10,33,20,False,0
10,34,20,False,0
11,0,20,False,1
11,1,20,False,1
11,2,20,False,3
11,3,20,False,3
11,4,20,False,2
11,5,20,False,3
11,6,20,True,30
11,7,20,False,1
11,8,20,False,6
11,9,20,False,3
11,10,20,False,1
11,11,20,False,6
11,12,20,False,6
11,13,20,False,6
11,14,20,False,6
11,15,20,False,6
11,16,20,False,6
11,17,20,False,6
11,18,20,False,6
11,19,20,False,6
11,20,20,False,1
11,21,20,False,1
11,22,20,False,1
11,23,20,False,6
11,24,20,False,2
11,25,20,False,1
11,26,20,False,1
11,27,20,False,6
11,28,20,False,6
11,29,20,False,3
11,30,20,True,30
11,31,20,False,6
11,32,20,False,6
11,33,20,False,3
11,34,20,False,1
12,0,20,False,0
12,1,20,False,0
12,2,20,False,0
12,3,20,False,0
12,4,20,False,0
12,5,20,False,0
12,6,20,False,0
12,7,20,False,0
12,8,20,False,0
12,9,20,False,0
12,10,20,False,0
12,11,20,False,0
12,12,20,False,0
12,13,20,False,0
12,14,20,False,0
12,15,20,False,0
12,16,20,False,0
12,17,20,False,0
12,18,20,False,0
12,19,20,False,0
12,20,20,False,0
12,21,20,False,0
12,22,20,False,0
12,23,20,False,0
12,24,20,False,0
12,25,20,False,0
12,26,20,False,0
12,27,20,False,0
12,28,20,False,0
12,29,20,False,0
12,30,20,False,0
12,31,20,False,0
12,32,20,False,0
12,33,20,False,0
12,34,20,False,0
13,0,20,False,0
13,1,20,False,0
13,2,20,False,1
13,3,20,False,8
13,4,20,False,0
13,5,20,False,7
13,6,20,False,7
13,7,20,False,7
13,8,20,False,0
13,9,20,False,0
13,10,20,False,1
13,11,20,False,1
13,12,20,False,0
13,13,20,False,0
13,14,20,False,0
13,15,20,False,0
13,16,20,False,1
13,17,20,False,0
13,18,20,False,0
13,19,20,False,1
13,20,20,False,0
13,21,20,False,1
13,22,20,False,1
13,23,20,False,0
13,24,20,False,0
