layer,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SPACE,SYM,VERB,X
0,1.304474290184326,0.5818223892825648,1.3329268596172512,1.0276712090964324,0.8054913369872977,0.4158353769844928,1.5375992188364174,2.6334074733096084,1.741095850122055,0.7398251083887087,1.0910967519970756,0.20409447591042498,0.0,0.6542627262881016,0.0,0.477715641416709,1.8480052444277955
1,0.9317673501316616,0.3702506113616321,0.4209242714580793,0.734050863640309,0.7322648518066344,1.4294341083841942,1.1935210719639322,2.3512566725978647,1.3265492191406134,0.8286041213953538,1.4547956693294342,0.23549362605049037,0.0,0.9813940894321523,0.0,0.2388578207083545,3.630010301554598
2,0.4658836750658308,0.4407745373352764,0.4209242714580793,0.4404305181841854,0.5858118814453074,3.56059041542972,0.8817002513607427,1.3167037366548042,0.9949119143554602,0.6510460953820636,1.3335626968853145,0.3610902266107519,0.0,1.1449597710041777,0.0,0.28228651538260074,3.894011050758569
3,0.652237145092163,0.9168110376573748,0.631386407187119,0.7829875878829962,0.8787178221679611,2.650950528276142,0.5376221044882578,1.5048042704626337,2.3214611334960735,0.8286041213953538,0.9547096579974411,0.3453906515407192,0.0,1.4720911341482283,0.0,0.2171434733712314,4.884013860273459
4,0.5280014984079415,0.617084352269387,0.21046213572903966,1.5659751757659923,1.0983972777099513,2.365063706599303,0.6128891991166139,1.3480538256227759,1.906914502514632,1.0357551517441923,0.5910107406650826,1.0518715296921903,0.18240051763183435,2.017310072721646,0.0,0.477715641416709,2.9700084285446713
5,0.6832960567632185,0.9520730006441969,0.35077022621506615,1.468101727280618,0.8787178221679611,2.001207751737872,0.8601953671812125,1.9123554270462635,2.4872797858886506,1.0653481560797406,1.0759426304415607,0.5337855523811115,0.0,0.5997408324307597,0.0,0.32571521005684706,1.5840044952238246
6,0.5280014984079415,1.1989067415519516,0.7716944976731454,1.468101727280618,0.8054913369872977,0.5717736433536776,0.9354624618095685,2.5707072953736656,3.2334637216552453,1.0653481560797406,1.2123297244411952,0.5023864022410461,0.0,0.7633065140027852,0.0,0.30400086271972393,1.2540035587188612
7,1.304474290184326,0.5994533707759758,0.9821566334021851,1.1744813818244944,0.43935891108398056,0.5197942212306161,1.322550377041114,1.7556049822064057,1.741095850122055,0.591860086710967,1.5608745202180385,0.7221804532215038,0.0,0.6542627262881016,0.0,0.7165734621250636,0.5280014984079415
8,1.0249440851448277,1.1989067415519516,0.631386407187119,1.2234181060671816,1.391303218432605,1.7932900632456252,0.6451465253859093,1.5048042704626337,2.7360077644775154,1.2429061820930305,0.742551956220232,0.659382152941373,0.3648010352636687,1.1994816648615194,0.0,0.3691439047310933,1.5840044952238246
9,0.9007084384606061,1.0402279081112522,0.5612323619441058,1.5659751757659923,1.0983972777099513,1.7413106411225638,0.8601953671812125,1.2853536476868328,2.2385518072997854,1.0357551517441923,0.8940931717753813,0.5180859773110787,0.0,1.2540035587188614,0.0,0.6948591147879404,1.4520041206218393
